# Constructed from biom file																																																																																			
#OTU ID							1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	5	6	7	8	9	Ner-1	Ner-10	Ner-11	Ner-12	Ner-13	Ner-14	Ner-15	Ner-16	Ner-17	Ner-18	Ner-19	Ner-2	Ner-20	Ner-21	Ner-22	Ner-23	Ner-24	Ner-25	Ner-26	Ner-27	Ner-28	Ner-29	Ner-3	Ner-30	Ner-4	Ner-5	Ner-6	Ner-7	Ner-8	Ner-9
k__Bacteria	__	__	__	__	__	__	100	487	244	97	0	0	165	0	0	521	2257	141	471	1373	2071	795	708	191	600	127	123	56	158	163	77	55	148	0	329	242	254	208	13	230	460	14	100	300	69	0	0	0	468	998	433	33	81	0	109	0	0	0	144	0	88	69	144	112	47	57	315	81	0	246	23	12	66	281	52	0	0	0	0	54	0	121	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	__	__	__	169	13	50	0	0	0	302	0	0	267	413	18	0	18	182	0	0	0	0	46	63	0	0	199	492	205	155	0	56	53	37	68	0	368	97	80	0	141	60	0	0	11	0	62	42	0	0	95	80	106	153	70	284	0	0	24	246	89	468	0	0	530	67	0	46	214	27	58	20	133	0	0	886	206	62	4	109
k__Bacteria	p__Tenericutes	c__Mollicutes	o__RsaHF231	f__	g__	s__	16	72	218	52	0	0	28	0	0	0	20	18	0	55	0	322	209	0	66	0	0	0	41	66	0	9	0	0	0	129	376	48	0	90	106	54	988	73	328	0	0	0	132	285	176	54	370	0	0	0	0	0	0	60	0	0	0	0	0	0	0	422	75	88	250	85	82	91	85	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Vagococcus	s__salmoninarum	10	77	0	0	0	0	0	0	0	0	0	34	0	39	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	92	45	86	236	0	130	374	0	0	0	0	0	0	0	2	0	0	0	68	0	2206	205	0	0	0	0	0	131	321	0	0	0	0	0	734	91	0	0	0	17	96	0	18	0	0	301	67	177
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Elizabethkingia	s__meningoseptica	0	0	0	0	0	0	0	48	8716	0	0	0	0	0	0	74	47	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	__	__	58	0	132	39	0	0	12	0	0	97	172	0	111	882	0	0	0	40	0	0	31	0	0	47	0	0	98	0	366	46	99	32	0	338	73	0	9	40	26	0	0	0	0	477	0	0	36	67	0	0	0	0	61	0	0	0	0	0	86	0	0	16	0	0	40	37	66	0	42	0	0	53	106	0	0	0	0
k__Bacteria	p__Bacteroidetes	__	__	__	__	__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2085	2128	857	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	__	__	697	0	34	0	0	0	51	0	0	0	60	22	0	0	0	0	0	177	0	0	0	0	47	39	206	0	0	0	0	46	0	57	49	0	194	50	0	0	0	0	0	0	0	27	36	0	26	114	68	264	359	143	248	0	48	56	97	29	157	63	85	42	93	31	0	81	27	62	65	170	0	327	908	244	46	400	337
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__	g__	s__	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	22	127	0	1336	1392	559	0	5	0	0	38	40	0	44	0	38	0	11	0	0	0	0	21	0	0	0	56	0	40	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Morganella	s__morganii	715	68	0	0	464	217	687	421	0	267	232	292	319	316	123	633	952	740	316	256	479	441	17	0	37	60	150	254	48	54	59	74	0	0	0	0	242	95	314	0	0	0	0	60	70	65	0	0	0	0	0	0	0	18	0	0	0	0	32	0	0	0	0	0	69	0	0	0	24	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Wohlfahrtiimonas	s__	362	27	0	75	0	0	41	0	0	14	0	141	0	96	363	322	66	0	0	0	109	68	8	34	330	757	150	352	25	2	0	54	0	119	0	0	116	0	44	0	0	0	0	0	142	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	4	50	62	25	498	174	214	17	75	0	0	7	0	40	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__marcescens	35	64	0	0	86	152	52	438	2511	117	73	36	45	0	21	61	197	34	0	77	59	42	25	12	0	26	363	1276	60	0	25	0	0	54	47	0	34	0	0	0	0	0	0	48	0	0	0	0	0	6	0	0	0	42	3	65	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__	s__	88	0	209	81	0	0	0	0	0	0	126	0	0	18	0	0	0	0	32	0	28	0	77	0	32	145	26	0	0	240	235	186	54	385	479	50	153	278	12	0	0	0	113	899	11	49	198	447	864	427	552	536	781	149	226	468	990	1289	688	497	1093	1749	1014	641	593	1136	2703	127	365	73	0	257	737	1345	283	822	256
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	__	__	86	142	144	45	0	0	64	0	62	0	93	52	0	0	45	0	0	117	0	0	269	0	0	43	219	276	0	0	83	47	113	176	0	39	0	30	0	56	53	0	0	0	0	278	113	45	127	90	257	139	52	109	138	57	71	93	301	102	322	23	244	179	235	178	108	215	633	75	0	105	73	49	59	277	78	119	172
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	__	__	__	__	212	98	15	0	0	0	0	0	0	0	139	59	58	47	50	0	0	177	0	21	24	0	17	163	114	400	0	0	96	50	53	108	0	171	20	28	0	96	42	0	0	0	11	141	325	0	63	153	156	338	90	113	632	175	50	65	307	206	333	0	248	123	94	16	136	246	255	57	43	155	0	339	37	236	78	177	169
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__	s__	194	60	541	91	7	0	11	0	0	37	318	169	15	0	0	0	0	0	6	0	64	0	69	76	9	77	0	0	78	37	341	8	0	500	146	0	0	232	79	0	0	0	0	492	55	52	155	520	421	317	695	121	1319	262	159	61	943	541	1311	94	1330	518	404	324	327	474	620	11	197	115	0	811	2229	580	145	382	291
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	__	__	__	0	0	0	0	0	0	0	0	0	0	13	20	0	9	0	0	0	10	24	0	15	0	0	38	0	52	61	0	45	0	0	8	0	52	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	390	442	156	0	0	0	0	0	0	0	0	0	12	0	41	0	0	0	41	0	0	0	37	64	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__	1962	24	0	0	0	0	0	0	13	7	0	3291	51	0	74	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	28	0	0	30	0	7	16	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	__	__	__	__	408	75	0	62	0	0	0	0	0	40	121	342	0	87	22	10	0	499	19	0	3	0	61	68	161	1049	3	0	82	0	52	49	0	465	59	53	0	0	41	0	0	0	4	270	388	39	4	16	24	33	95	64	253	14	0	0	312	53	255	0	42	904	149	78	375	226	244	25	152	86	0	104	257	110	0	104	83
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Dysgonomonas	s__	131	195	63	0	0	10	20	0	0	211	494	206	239	415	123	119	86	441	186	92	323	144	8	252	239	515	513	54	392	117	548	183	0	482	9	86	208	389	173	0	0	0	0	432	440	0	143	303	813	494	1302	1065	1407	928	417	569	1183	828	1594	285	1113	495	777	832	1161	618	406	404	366	382	0	502	96	1519	50	880	1501
