Domain,Phylum,Class,Order,Family,Genus,Species,N.vespillo_b,N.vsps_n,N.vsps_p,N.vsps_o,Yab_fpj_1,Yab_fpj_2,Yaj_fpb_1,Yaa_fpi_1,Yaa_fpi_2,Yai_fpa_1,Yai_fpa_2,N.vsps_j,Yai_fpa_3,Yai_fpa_4,Yal_fpd_1,Yal_fpd_2,Yal_fpd_3,Yaq_fpr_1,Yaq_fpr_2,Yam_fpn_1,Yam_fpn_2,Yam_fpn_3,N.vespillo_a,Yan_fpm_1,Yan_fpm_2,Yan_fpm_3,Yao_fpp_1,Yao_fpp_2,Yao_fpp_3,Yam_fpn_4_fed,Yam_fpn_5_fed,Yam_fpn_6_fed,Yan_fpm_4_fed,N.vsps_i,Yan_fpm_5_fed,Yan_fpm_6_fed,Yao_fpp_4_fed,Yao_fpp_5_fed,Yao_fpp_6_fed,Positive_control,Negative_control_1,Negative_control_2,N.vespillo_d,N.vsps_l,N.vespillo_q,N.vespillo_r,N.vsps_m,N.int_f1,N.vespillo_f2,N.vespillo_f3,N.vespillo_m1,N.vespillo_m2,N. vespilloides_f_open1,N. vespilloides_f_open2,N. vespilloides_f_open3,N. vespilloides_f_open4,N.int_m4,N.vespilloides_m_open1,N.int_f2,N.vespilloides_m_open2,N.vespilloides_m_open3,N.vespilloides_m_lab1,N.vespilloides_m_lab2,N.vespilloides_m_lab3,N.vespilloides_m_lab4,N.vespilloides_f_lab1,N.vespilloides_f_lab2,N.vespilloides_f_lab3,N.vespilloides_f_lab4,N.int_f3,N.int_f4,N.vespilloides_m_open4,N.int_m1,N.int_m2,N.int_m3,N.vespillo_f1
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,816,244,259,77,695,455,207,262,579,339,164,277,1170,0,0,1277,1149,53,140,0,0,78,313,0,437,88,317,320
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,uncultured_bacterium,69,106,187,46,0,0,119,0,0,356,2192,141,418,1255,2068,666,665,107,520,31,123,56,34,123,77,46,73,0,230,242,119,190,0,108,416,14,100,254,51,0,0,0,134,758,28,33,70,63,638,186,178,72,683,467,183,244,516,351,221,293,1153,81,0,777,813,44,101,157,52,20,275,54,255,78,251,353
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,swine_effluent,377,75,50,62,0,0,302,0,0,267,433,360,0,101,186,0,0,499,19,46,63,0,50,226,589,1109,158,0,138,53,89,117,0,742,156,130,0,141,60,0,0,11,4,255,148,39,0,61,60,106,162,44,307,5,0,0,256,20,524,0,0,1311,91,0,135,241,65,58,20,215,0,646,149,3,19,124
Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,bacterium_PM5-3,16,72,218,52,0,0,28,0,0,0,20,18,0,55,0,322,209,0,66,0,0,0,41,66,0,9,0,0,0,129,376,48,0,90,106,54,988,73,328,0,0,0,132,285,176,54,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,75,88,250,85,82,91,85,0,0,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,unclassified,0,0,0,0,0,0,0,48,8716,0,0,0,0,0,0,74,47,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,unclassified,unclassified,143,30,524,84,7,0,23,0,0,134,471,123,126,882,0,0,0,40,0,0,95,0,49,102,0,63,98,0,411,46,365,40,0,651,161,0,9,173,26,0,0,0,0,799,33,32,143,198,160,114,337,0,844,99,78,32,371,328,557,65,1105,346,200,204,306,383,377,11,189,82,464,664,222,112,186,30
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,unclassified,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2995,3118,1216,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,unclassified,unclassified,52,0,34,0,0,0,51,0,0,0,60,22,0,0,0,0,0,177,0,0,0,0,47,39,206,0,0,0,0,46,0,57,49,0,194,50,0,0,0,0,0,0,0,27,36,0,45,70,38,264,270,91,248,0,48,56,72,29,161,63,85,42,93,31,0,81,27,62,65,147,311,900,244,46,400,337
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,unclassified,715,68,0,0,406,171,687,330,0,267,232,251,319,316,123,633,952,740,316,256,479,441,0,0,37,60,150,246,48,54,59,74,0,0,0,0,231,95,314,0,0,0,0,60,70,65,0,0,0,0,0,0,0,18,0,0,0,0,32,0,0,0,0,0,69,0,0,0,24,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,unclassified,unclassified,444,27,0,0,0,0,41,0,0,52,86,141,0,76,245,56,2,0,0,0,68,3,8,50,279,394,60,0,25,0,0,54,0,99,0,3,72,0,52,0,0,0,0,42,382,0,0,45,44,33,62,0,0,9,0,0,73,69,152,0,0,29,57,2,54,86,83,0,59,0,7,142,146,59,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,unclassified,81,64,0,0,86,152,52,438,2511,117,73,36,45,0,21,61,197,34,0,77,59,42,25,12,0,26,363,1276,60,0,25,0,0,54,47,0,34,0,0,0,0,0,0,48,0,0,0,0,0,33,29,63,0,42,3,65,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Koukoulia,Koukoulia_aurantiaca,0,0,0,75,0,0,0,0,0,2,0,0,0,20,136,276,64,0,0,0,41,65,0,18,99,488,90,352,0,0,0,0,0,58,0,0,44,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,62,23,466,172,201,17,73,0,0,0,40,0,0,0
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,unclassified,88,0,82,36,0,0,0,0,0,0,0,0,0,18,0,0,0,0,32,0,0,0,74,0,32,62,26,0,0,238,122,186,54,340,214,50,153,278,0,0,0,0,99,844,0,49,198,223,263,107,342,286,355,68,52,206,777,198,457,196,181,1559,971,449,451,828,2599,127,314,73,13,131,756,59,193,172
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Breznakia,uncultured_bacterium,56,591,5,0,0,0,88,0,0,0,0,0,0,6,0,192,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,68,0,536,330,664,0,0,45,156,0,0,0,108,24,88,54,120,131,0,61,115,0,0,0,0,7,0,0,0,0,0,5,82,0,70,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,unclassified,136,142,165,100,0,0,64,0,62,0,164,151,62,0,45,0,0,254,0,0,269,0,0,43,236,279,0,0,122,47,113,176,0,75,0,30,28,108,53,0,0,0,0,366,113,45,127,139,187,179,127,93,276,218,144,124,683,263,525,60,424,341,215,277,170,237,788,75,0,236,264,152,543,46,364,221
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,uncultured,bacterium_endosymbiont,212,134,15,0,0,0,0,0,0,0,358,113,88,96,50,0,0,278,562,21,43,0,17,181,135,400,42,0,157,105,53,108,0,248,20,28,0,154,65,0,0,0,11,187,325,0,123,56,63,67,41,83,189,125,50,30,41,33,80,0,47,123,94,0,136,205,255,57,127,81,109,37,112,0,27,20
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,Erysipelothrix_tonsillarum,0,63,215,0,0,0,198,0,0,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,64,54,70,49,0,294,0,21,0,60,0,0,0,0,0,195,0,45,71,36,519,103,130,0,104,100,44,98,78,136,120,19,212,137,192,133,0,54,133,579,0,0,125,12,46,0,181,42
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Apibacter,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,810,356,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,21,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_rudis,1933,24,0,0,0,0,0,0,0,0,0,3291,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,uncultured_bacterium,0,0,241,51,0,0,3,0,0,165,88,0,53,112,40,0,48,89,78,94,51,0,19,71,0,9,75,0,114,30,239,39,0,68,165,27,6,70,18,0,0,0,0,180,0,30,146,12,0,0,0,16,24,12,36,28,6,15,16,29,31,142,113,54,112,151,86,358,835,0,4,16,9,8,12,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,unclassified,117,195,60,0,0,0,33,0,0,102,380,160,165,295,0,0,0,275,73,33,188,44,0,252,114,308,344,19,338,81,367,124,0,372,0,86,67,319,144,0,0,0,0,356,464,0,92,303,647,409,1308,882,1250,863,311,473,919,746,1240,251,959,468,717,737,910,447,406,253,362,368,492,254,1207,13,709,1388
